title,rating,date,body,helpfulVotes,review_type,reviewText_clean,sentiment
"5.0 out of 5 stars







  
  
    Very satisfied",5.0,"Reviewed in the United States on February 1, 2024","We ordered this computer and when it was delivered, the battery was unable to charge.  I contacted the seller and literally within the hour I heard back from them.  This never happens.  They gave us a few options and one was we could order a new battery and they would refund us the cost of the battery.  So this is what we did and within a day of ordering the new battery the money was refunded back to us.  The computer is working wonderfully and we couldn't be happier.  Customer service alone was 5 stars!!!",2,all,"We ordered this computer and when it was delivered, the battery was unable to charge. I contacted the seller and literally within the hour I heard back from them. This never happens. They gave us a few options and one was we could order a new battery and they would refund us the cost of the battery. So this is what we did and within a day of ordering the new battery the money was refunded back to us. The computer is working wonderfully and we couldn't be happier. Customer service alone was 5 stars!!!",1
"5.0 out of 5 stars







  
  
    Great product!",5.0,"Reviewed in the United States on December 4, 2024",Love it and reasonably priced!,0,all,Love it and reasonably priced!,1
"5.0 out of 5 stars







  
  
    Warehouse Deal",5.0,"Reviewed in the United States on October 28, 2024",Nice big screen. been working perfectly.,0,all,Nice big screen. been working perfectly.,1
"4.0 out of 5 stars







  
  
    Worth It",4.0,"Reviewed in the United States on April 23, 2021","I don't use the computer for a lot because it can lag a little bit, but overall for the price I can't complain too much.The touch screen absolutely blows me away. It wasn't a feature I was super interested in but it works well without lagging or being too sensitive.My only gripe is that it doesn't fold down all the way. I knew that buying it though.",3,all,"I don't use the computer for a lot because it can lag a little bit, but overall for the price I can't complain too much.The touch screen absolutely blows me away. It wasn't a feature I was super interested in but it works well without lagging or being too sensitive.My only gripe is that it doesn't fold down all the way. I knew that buying it though.",1
"5.0 out of 5 stars







  
  
    Best money EVER spent!",5.0,"Reviewed in the United States on January 6, 2023","Just looking at it...I ❤️ the color and it's light weight. Once I turned it on catana started speaking and walked me through setting it up.  I was a little reluctant to purchase one as used/refurbished but there is nothing used at all about this laptop. I love having a touchscreen on this, it's awesome. Best money I've EVER spent!",2,all,"Just looking at it...I ❤️ the color and it's light weight. Once I turned it on catana started speaking and walked me through setting it up. I was a little reluctant to purchase one as used/refurbished but there is nothing used at all about this laptop. I love having a touchscreen on this, it's awesome. Best money I've EVER spent!",1
"1.0 out of 5 stars







  
  
    Update: Broke down after 1 year",1.0,"Reviewed in the United States on November 24, 2021","Update: I’ve been so dissatisfied with this laptop. I never use the touchscreen since it doesn’t react well. It’s always been slow, and all I do is streaming & internet browsing. And for nearly $300 it should last more than 1 year. With the price of fixing it I might as well just buy something better that I know will work.I’ve been happy with previous Amazon laptop purchases, but this one surprised me with how slow it was. I always look at the specs and assumed it’d be the same as the Lenovo I bought 3 years ago for the same price. This one is plastic instead of metallic, so it feels super cheap and I’m afraid it’ll break much more easily. I wanted to return it only to find out they charge a huge restocking fee, so guess I’m stuck with it till next time. Once I did all the updates, it did help a little, so definitely do those. The touchscreen felt strange, but it works so it’s fine. I think it’s just made from a cheaper material than I’m used to. Wish I had seen the other reviews like this before buying.",4,all,"Update: I’ve been so dissatisfied with this laptop. I never use the touchscreen since it doesn’t react well. It’s always been slow, and all I do is streaming & internet browsing. And for nearly $300 it should last more than 1 year. With the price of fixing it I might as well just buy something better that I know will work.I’ve been happy with previous Amazon laptop purchases, but this one surprised me with how slow it was. I always look at the specs and assumed it’d be the same as the Lenovo I bought 3 years ago for the same price. This one is plastic instead of metallic, so it feels super cheap and I’m afraid it’ll break much more easily. I wanted to return it only to find out they charge a huge restocking fee, so guess I’m stuck with it till next time. Once I did all the updates, it did help a little, so definitely do those. The touchscreen felt strange, but it works so it’s fine. I think it’s just made from a cheaper material than I’m used to. Wish I had seen the other reviews like this before buying.",0
"5.0 out of 5 stars







  
  
    Affordable touchscreen laptop + works well",5.0,"Reviewed in the United States on May 22, 2023","I've had mine for a little over a year & I'm perfectly satisfied with what I got for the price. The touch screen is soo convenient! Keep in mind it's not a gaming laptop; there's low storage space & RAM/memory, so although it's not laggy, don't expect all programs to run at lightning speed. Works well for writing, video calls, watching movies, & browsing the internet.",5,all,"I've had mine for a little over a year & I'm perfectly satisfied with what I got for the price. The touch screen is soo convenient! Keep in mind it's not a gaming laptop; there's low storage space & RAM/memory, so although it's not laggy, don't expect all programs to run at lightning speed. Works well for writing, video calls, watching movies, & browsing the internet.",1
"3.0 out of 5 stars







  
  
    Was great initially, now I dislike it!",3.0,"Reviewed in the United States on July 5, 2022","When I first received this laptop, I loved it! It is very lightweight and of course, I enjoyed utilizing the touchscreen feature. After a couple of uses, I started to notice how SLOW it is, which is not beneficial for me at all. I had no choice but to switch back to my original laptop. Also, the battery life sucks! I personally would not recommend",4,all,"When I first received this laptop, I loved it! It is very lightweight and of course, I enjoyed utilizing the touchscreen feature. After a couple of uses, I started to notice how SLOW it is, which is not beneficial for me at all. I had no choice but to switch back to my original laptop. Also, the battery life sucks! I personally would not recommend",0
"4.0 out of 5 stars







  
  
    Horrible battery life and not compatible with IC Solutions other pretty good",4.0,"Reviewed in the United States on February 19, 2023",Battery dies so quickly! I bought this laptop because I read that it was good to use for loan signing purposes & that it was compatible with IC Solutions. Not compatible with IC Solutions. Also the laptopTends to overheat easily. Which makes guy be just a issues with viruses etc. Otherwise it’s  great.,1,all,Battery dies so quickly! I bought this laptop because I read that it was good to use for loan signing purposes & that it was compatible with IC Solutions. Not compatible with IC Solutions. Also the laptopTends to overheat easily. Which makes guy be just a issues with viruses etc. Otherwise it’s great.,1
"5.0 out of 5 stars







  
  
    Its a Win",5.0,"Reviewed in the United States on January 31, 2024","Mother desperately needed a new laptop  as my great-nephew broke hers thinking it would fold backwards. Needless to say, I came to the rescue since mom likes to keep her business files on her computer. She loves it and loved the color option selected. Pops said he needs a new computer too.",1,all,"Mother desperately needed a new laptop as my great-nephew broke hers thinking it would fold backwards. Needless to say, I came to the rescue since mom likes to keep her business files on her computer. She loves it and loved the color option selected. Pops said he needs a new computer too.",1
"1.0 out of 5 stars







  
  
    This is the worst hp yet. Do not waste your money.",1.0,"Reviewed in the United States on March 24, 2025","I have to really work on wires and exact positioning for it to charge. It’s so slow! I can’t watch an entire movie without it freezing up, going dark, or completely ignore my commands.",0,all,"I have to really work on wires and exact positioning for it to charge. It’s so slow! I can’t watch an entire movie without it freezing up, going dark, or completely ignore my commands.",0
"5.0 out of 5 stars







  
  
    super portable",5.0,"Reviewed in the United States on July 3, 2024",useful for taking for small meetings and other outdoor activities.,0,all,useful for taking for small meetings and other outdoor activities.,1
"3.0 out of 5 stars







  
  
    someone else name on log in, on my new laptop",3.0,"Reviewed in the United States on October 10, 2023","my laptop has someone else name  that comes up when i log in name"" Deborah Finch"", and I  dont know  how to get that name  of my laptop  ,  so my laptop now has my name Joseph Price, and this other person Deborah,  unde  my name .  why is this its a new laptop  ?",4,all,"my laptop has someone else name that comes up when i log in name"" Deborah Finch"", and I dont know how to get that name of my laptop , so my laptop now has my name Joseph Price, and this other person Deborah, unde my name . why is this its a new laptop ?",0
"4.0 out of 5 stars







  
  
    UPDATE - Good Purchase But Beware",4.0,"Reviewed in the United States on January 27, 2021","I am updating this review.  Be sure you understand what you are purchasing. It is sold in S mode which you cannot disable without some working knowledge of PC’s..  Very disappointed with this as it does not ever mention the amount of work required to disable the S mode.  After working with this for 2+ hours, I had to launch a full restore of the new laptop then I was able to access the permissions to disable S mode.  It has worked as expected since then.  If you are willing to put in some time its a great value.",22,all,"I am updating this review. Be sure you understand what you are purchasing. It is sold in S mode which you cannot disable without some working knowledge of PC’s.. Very disappointed with this as it does not ever mention the amount of work required to disable the S mode. After working with this for 2+ hours, I had to launch a full restore of the new laptop then I was able to access the permissions to disable S mode. It has worked as expected since then. If you are willing to put in some time its a great value.",1
"2.0 out of 5 stars







  
  
    Bad battery",2.0,"Reviewed in the United States on September 8, 2024",Battery stopped charging. It will only work on the charger but won't hold a charge. Less than a year from when I bought it and only been out of the box for 9 months. Never had this happen before.,0,all,Battery stopped charging. It will only work on the charger but won't hold a charge. Less than a year from when I bought it and only been out of the box for 9 months. Never had this happen before.,0
"1.0 out of 5 stars







  
  
    worse laptop ever",1.0,"Reviewed in the United States on January 15, 2025","It always hung up, it would never run windows anything from day one. I never got around to a warranty claim. I didn't have the time so I just bought a different one. Maybe if I ever get the chance I'll try to install a light version of Linux on it. It's hardly worth my time though.",0,all,"It always hung up, it would never run windows anything from day one. I never got around to a warranty claim. I didn't have the time so I just bought a different one. Maybe if I ever get the chance I'll try to install a light version of Linux on it. It's hardly worth my time though.",0
